級別,單字,屬性,輸出,中文
4,ancestor,n.,ancestor (n.),祖先
4,anniversary,n.,anniversary (n.),週年紀念日
4,annoy,v.,annoy (v.),惹惱
4,annual,adj.,annual (adj.),年度的
4,anxiety,n.,anxiety (n.),焦慮
4,apology,n.,apology (n.),道歉
4,apparent,adj.,apparent (adj.),明顯的
4,applicant,n.,applicant (n.),申請人
4,application,n.,application (n.),應用
4,appoint(ment),v./(n.),appoint(ment) (v./(n.)),預約）
4,appreciation,n.,appreciation (n.),欣賞
4,appropriate,adj.,appropriate (adj.),合適的
4,approval,n.,approval (n.),贊同
4,aquarium,n.,aquarium (n.),水族館
4,arch,n./v.,arch (n./v.),拱
4,arise,v.,arise (v.),出現
4,arms,n.,arms (n.),武器
4,artificial,adj.,artificial (adj.),人造的
4,artistic,adj.,artistic (adj.),藝術的
4,ashamed,adj.,ashamed (adj.),羞愧
4,aspect,n.,aspect (n.),方面
4,aspirin,n.,aspirin (n.),阿斯匹林
4,assemble,v.,assemble (v.),集合
4,assembly,n.,assembly (n.),集會
4,assign(ment),v./(n.),assign(ment) (v./(n.)),任務）
4,assistance,n.,assistance (n.),協助
4,associate,adj./n./v.,associate (adj./n./v.),聯繫
4,association,n.,association (n.),協會
4,assurance,n.,assurance (n.),保證
4,assure,v.,assure (v.),保證
4,athletic,adj.,athletic (adj.),運動的
4,atmosphere,n.,atmosphere (n.),氣氛
4,atom,n.,atom (n.),原子
4,atomic,adj.,atomic (adj.),原子
4,attach(ment),v./(n.),attach(ment) (v./(n.)),依戀）
4,attraction,n.,attraction (n.),景點
4,audio,adj.,audio (adj.),聲音的
4,authentic,adj.,authentic (adj.),真正的
4,authority,n.,authority (n.),權威
4,autobiography,n.,autobiography (n.),自傳
4,autograph,n./v.,autograph (n./v.),簽名
4,await,v.,await (v.),等待
4,baid,adj.,baid (adj.),拜德
4,ballet,n.,ballet (n.),芭蕾舞
4,bandage,n./v.,bandage (n./v.),繃帶
4,bankrupt,adj./v./n.,bankrupt (adj./v./n.),破產
4,bargain,n./v.,bargain (n./v.),便宜貨
4,barrier,n.,barrier (n.),障礙
4,basin,n.,basin (n.),盆地
4,battery,n.,battery (n.),電池
4,beggar,n.,beggar (n.),乞丐
4,behavior,n.,behavior (n.),行為
4,bin,n.,bin (n.),垃圾桶
4,biography,n.,biography (n.),傳
4,biology,n.,biology (n.),生物學
4,blade,n.,blade (n.),刀刃
4,blend,v./n.,blend (v./n.),混合
4,blessing,n.,blessing (n.),祝福
4,blink,v./n.,blink (v./n.),眨
4,bloom,n./v.,bloom (n./v.),盛開
4,blossom,n./v.,blossom (n./v.),開花
4,boast,v./n.,boast (v./n.),誇
4,bond,n./v.,bond (n./v.),紐帶
4,bounce,v./n.,bounce (v./n.),彈跳
4,bracelet,n.,bracelet (n.),手鐲
4,breed,n./v.,breed (n./v.),品種
4,bridegroom/groom,n.,bridegroom/groom (n.),新郎/新郎
4,broke,adj.,broke (adj.),壞了
4,broom,n.,broom (n.),掃帚
4,brutal,adj.,brutal (adj.),野蠻
4,bulletin,n.,bulletin (n.),公告
4,burglar,n.,burglar (n.),竊賊
4,cabinet,n.,cabinet (n.),內閣
4,calculate,v.,calculate (v.),計算
4,calculation,n.,calculation (n.),計算
4,calorie,n.,calorie (n.),卡路里
4,campaign,n./v.,campaign (n./v.),活動
4,candidate,n.,candidate (n.),候選人
4,cane,n.,cane (n.),甘蔗
4,canoe,n./v.,canoe (n./v.),獨木舟
4,capacity,n.,capacity (n.),容量
4,capital(ism),n.,capital(ism) (n.),資本（主義）
4,capitalist,n.,capitalist (n.),資本家
4,cargo,n.,cargo (n.),貨物
4,carrier,n.,carrier (n.),載體
4,carve,v.,carve (v.),雕刻
4,catalogue,n./v.,catalogue (n./v.),目錄
4,category,n.,category (n.),類別
4,cease,v./n.,cease (v./n.),停止
4,celebration,n.,celebration (n.),慶典
4,chamber,n.,chamber (n.),室
4,championship,n.,championship (n.),錦標賽
4,characteristic,n./adj.,characteristic (n./adj.),特徵
4,charity,n.,charity (n.),慈善事業
4,chemistry,n.,chemistry (n.),化學
4,cherish,v.,cherish (v.),珍惜
4,chew,v./n.,chew (v./n.),嚼
4,choke,v./n.,choke (v./n.),嗆
4,chorus,n.,chorus (n.),合唱
4,circular,adj.,circular (adj.),圓
4,circulate,v.,circulate (v.),流通
4,circulation,n.,circulation (n.),循環
4,circumstance,n.,circumstance (n.),環境
4,civilian,adj./n.,civilian (adj./n.),平民
4,civilization,n.,civilization (n.),文明
4,clarify,v.,clarify (v.),闡明
4,clash,n./v.,clash (n./v.),衝突
4,classification,n.,classification (n.),分類
4,classify,v.,classify (v.),分類
4,claw,n./v.,claw (n./v.),爪
4,cliff,n.,cliff (n.),懸崖
4,clumsy,adj.,clumsy (adj.),笨拙
4,coarse,adj.,coarse (adj.),粗
4,code,n./v.,code (n./v.),程式碼
4,collapse,n./v.,collapse (n./v.),坍塌
4,colleague,n.,colleague (n.),同事
4,combination,n.,combination (n.),組合
4,comedy,n.,comedy (n.),喜劇
4,commander,n.,commander (n.),指揮官
4,comment,n./v.,comment (n./v.),評論
4,commerce,n.,commerce (n.),商業
4,commit,v.,commit (v.),犯罪
4,communication,n.,communication (n.),溝通
4,community,n.,community (n.),社群
4,companion,n.,companion (n.),伴侶
4,competition,n.,competition (n.),競賽
4,competitive,adj.,competitive (adj.),競爭的
4,competitor,n.,competitor (n.),競爭者
4,complicate,v.,complicate (v.),使複雜化
4,compose,v.,compose (v.),撰寫
4,composer,n.,composer (n.),作曲家
4,composition,n.,composition (n.),作品
4,concentrate,v.,concentrate (v.),集中
4,concentration,n.,concentration (n.),專注
4,concept,n.,concept (n.),概念
4,concerning,prep.,concerning (prep.),有關
4,concrete,adj./n./v.,concrete (adj./n./v.),具體的
4,conductor,n.,conductor (n.),導體
4,conference,n.,conference (n.),會議
4,confess,v.,confess (v.),承認
4,confidence,n.,confidence (n.),信心
4,confusion,n.,confusion (n.),錯亂
4,congratulate,v.,congratulate (v.),恭喜
4,congress,n.,congress (n.),國會
4,conquer,v.,conquer (v.),征服
4,conscience,n.,conscience (n.),良心
4,consequence,n.,consequence (n.),結果
4,consequent,adj.,consequent (adj.),結果
4,conservative,adj./n.,conservative (adj./n.),保守的
4,consist,v.,consist (v.),組成
4,consistent,adj.,consistent (adj.),持續的
4,constitute,v.,constitute (v.),構成
4,constitution,n.,constitution (n.),憲法
4,construct,v.,construct (v.),構造
4,construction,n.,construction (n.),建造
4,constructive,adj.,constructive (adj.),建設性的
4,consult,v.,consult (v.),諮詢
4,consultant,n.,consultant (n.),顧問
4,consume,v.,consume (v.),消耗
4,consumer,n.,consumer (n.),消費者
4,container,n.,container (n.),容器
4,content,n./adj.,content (n./adj.),內容
4,content(ment),v./(n.),content(ment) (v./(n.)),滿意）
4,contest,n./v.,contest (n./v.),競賽
4,context,n.,context (n.),情境
4,continual,adj.,continual (adj.),連續的
4,continuous,adj.,continuous (adj.),連續的
4,contrary,n./adj.,contrary (n./adj.),相反
4,contrast,n./v.,contrast (n./v.),對比
4,contribute,v.,contribute (v.),貢獻
4,contribution,n.,contribution (n.),貢獻
4,convenience,n.,convenience (n.),方便
4,convention,n.,convention (n.),習俗
4,conventional,adj.,conventional (adj.),傳統的
4,converse,v.,converse (v.),交談
4,convey,v.,convey (v.),傳達
4,convince,v.,convince (v.),說服
4,cooperate,v.,cooperate (v.),合作
4,cooperation,n.,cooperation (n.),合作
4,cooperative,adj./n.,cooperative (adj./n.),合作社
4,cope,v.,cope (v.),應付
4,copper,n./adj.,copper (n./adj.),銅
4,cord,n.,cord (n.),繩索
4,correspond,v.,correspond (v.),對應
4,costume,n.,costume (n.),戲服
4,cottage,n.,cottage (n.),小屋
4,council,n.,council (n.),理事會
4,counter,n./v./adj./adv.,counter (n./v./adj./adv.),櫃檯
4,courageous,adj.,courageous (adj.),勇敢
4,courtesy,n.,courtesy (n.),禮貌
4,coward,n.,coward (n.),懦夫
4,crack,n./v.,crack (n./v.),裂縫
4,craft,n.,craft (n.),工藝
4,creation,n.,creation (n.),創建
4,creativity,n.,creativity (n.),創造力
4,creep,v.,creep (v.),蠕動
4,critic,n.,critic (n.),評論家
4,critical,adj.,critical (adj.),批判的
4,criticism,n.,criticism (n.),批評
4,criticize,v.,criticize (v.),批評
4,cruelty,n.,cruelty (n.),殘酷
4,crunchy,adj.,crunchy (adj.),脆脆的
4,crush,n./v.,crush (n./v.),壓碎
4,cube,n./v.,cube (n./v.),立方體
4,cue,n./v.,cue (n./v.),提示
4,cunning,adj./n.,cunning (adj./n.),狡猾
4,curiosity,n.,curiosity (n.),好奇心
4,curl,n./v.,curl (n./v.),捲曲
4,curse,n./v.,curse (n./v.),詛咒
4,curve,n./v.,curve (n./v.),曲線
4,cushion,n./v.,cushion (n./v.),軟墊
4,damp,adj./n./v.,damp (adj./n./v.),潮濕
4,deadline,n.,deadline (n.),最後期限
4,declare,v.,declare (v.),宣告
4,decoration,n.,decoration (n.),裝飾
4,defeat,n./v.,defeat (n./v.),擊敗
4,defend,v.,defend (v.),保衛
4,defense,n.,defense (n.),防禦
4,defensible,adj.,defensible (adj.),可以防禦的
4,defensive,adj.,defensive (adj.),防禦性的
4,definite,adj.,definite (adj.),定
4,delicate,adj.,delicate (adj.),精美的
4,delight,n./v.,delight (n./v.),喜
4,delightful,adj.,delightful (adj.),愉快
4,demand,n./v.,demand (n./v.),要求
4,demonstrate,v.,demonstrate (v.),證明
4,demonstration,n.,demonstration (n.),示範
4,dense,adj.,dense (adj.),稠密
4,depart,v.,depart (v.),離開
4,departure,n.,departure (n.),離開
4,dependent,adj./n.,dependent (adj./n.),依賴的
4,depression,n.,depression (n.),沮喪
4,deserve,v.,deserve (v.),應得
4,desperate,adj.,desperate (adj.),絕望的
4,despite,prep.,despite (prep.),儘管
4,destruction,n.,destruction (n.),破壞
4,detective,n./adj.,detective (n./adj.),偵探
4,determination,n.,determination (n.),決心
4,device,n.,device (n.),裝置
4,devise,v.,devise (v.),設計
4,devote,v.,devote (v.),奉獻
4,dew,n.,dew (n.),露
4,diagram,n./v.,diagram (n./v.),圖表
4,differ,v.,differ (v.),不同
4,digest,n./v.,digest (n./v.),消化
4,digital,adj.,digital (adj.),數位的
4,dignity,n.,dignity (n.),尊嚴
4,diligence,n.,diligence (n.),勤勉
4,diligent,adj.,diligent (adj.),勤奮
4,diploma,n.,diploma (n.),文憑
4,diplomat,n.,diplomat (n.),外交官
4,disability,n.,disability (n.),殘障
4,disadvantage,n./v.,disadvantage (n./v.),劣勢
4,disappoint(ment),v./(n.),disappoint(ment) (v./(n.)),失望（心）
4,disaster,n.,disaster (n.),災難
4,discipline,n./v.,discipline (n./v.),紀律
4,discourage(ment),v./(n.),discourage(ment) (v./(n.)),勸阻（勸阻）
4,disguise,v./n.,disguise (v./n.),偽裝
4,disgust,n./v.,disgust (n./v.),厭惡
4,dismiss,v.,dismiss (v.),解僱
4,disorder,n./v.,disorder (n./v.),紊亂
4,dispute,n./v.,dispute (n./v.),爭議
4,distinct,adj.,distinct (adj.),清楚的
4,distinguish,v.,distinguish (v.),區分
4,distinguished,adj.,distinguished (adj.),傑出的
4,distribute,v.,distribute (v.),散佈
4,distribution,n.,distribution (n.),分配
4,district,n.,district (n.),區
4,disturb,v.,disturb (v.),打擾
4,diverse,adj.,diverse (adj.),各種各樣的
4,diversity,n.,diversity (n.),多樣性
4,divine,adj.,divine (adj.),神聖的
4,divorce,n./v.,divorce (n./v.),離婚
4,dodge,v./n.,dodge (v./n.),閃避
4,dominant,adj.,dominant (adj.),主導的
4,dominate,v.,dominate (v.),支配
4,draft,n./v.,draft (n./v.),草稿
4,dread,n./v.,dread (n./v.),恐懼
4,drift,v./n.,drift (v./n.),漂移
4,drill,n./v.,drill (n./v.),鑽頭
4,drowsy,adj.,drowsy (adj.),昏昏欲睡
4,durable,adj.,durable (adj.),耐用的
4,dusty,adj.,dusty (adj.),塵土飛揚的
4,dye,n./v.,dye (n./v.),染料
4,dynamic,adj.,dynamic (adj.),動態的
4,dynasty,n.,dynasty (n.),王朝
4,earnest,adj./n.,earnest (adj./n.),認真
4,earphone,n.,earphone (n.),耳機
4,economic,adj.,economic (adj.),經濟的
4,economical,adj.,economical (adj.),經濟
4,economics,n.,economics (n.),經濟學
4,economist,n.,economist (n.),經濟學家
4,economy,n.,economy (n.),經濟
4,efficiency,n.,efficiency (n.),效率
4,elastic,adj./n.,elastic (adj./n.),鬆緊帶
4,electronics,n.,electronics (n.),電子產品
4,elegant,adj.,elegant (adj.),優雅的
4,elementary,adj.,elementary (adj.),初級
4,eliminate,v.,eliminate (v.),排除
4,elsewhere,adv.,elsewhere (adv.),別處
4,embarrass(ment),v./(n.),embarrass(ment) (v./(n.)),尷尬（心）
4,embassy,n.,embassy (n.),大使館
4,emerge,v.,emerge (v.),出現
4,emphasis,n.,emphasis (n.),強調
4,empire,n.,empire (n.),帝國
4,enclose,v.,enclose (v.),括
4,encounter,n./v.,encounter (n./v.),遇到
4,endanger,v.,endanger (v.),危害
4,endure,v.,endure (v.),忍受
4,enforce(ment),v./(n.),enforce(ment) (v./(n.)),執行（執行）
4,engineering,n.,engineering (n.),工程
4,enlarge(ment),v./(n.),enlarge(ment) (v./(n.)),放大）
4,enormous,adj.,enormous (adj.),巨大的
4,ensure,v.,ensure (v.),確保
4,entertain(ment),v./(n.),entertain(ment) (v./(n.)),娛樂）
4,enthusiasm,n.,enthusiasm (n.),熱情
4,equality,n.,equality (n.),平等
4,equip(ment),v./(n.),equip(ment) (v./(n.)),裝置)
4,era,n.,era (n.),時代
4,essential,adj./n.,essential (adj./n.),基本的
4,establish(ment),v./(n.),establish(ment) (v./(n.)),設立（設立）
4,estimate,n./v.,estimate (n./v.),估計
4,ethnic,adj./n.,ethnic (adj./n.),種族的
4,evaluate,v.,evaluate (v.),評價
4,evaluation,n.,evaluation (n.),評估
4,eventual,adj.,eventual (adj.),最終的
4,evidence,n./v.,evidence (n./v.),證據
4,evident,adj.,evident (adj.),明顯
4,exaggerate,v.,exaggerate (v.),誇大
4,exception,n.,exception (n.),例外
4,exhaust,n./v.,exhaust (n./v.),排氣
4,exhibit,n./v.,exhibit (n./v.),展覽
4,expand,v.,expand (v.),擴張
4,expansion,n.,expansion (n.),擴張
4,experimental,adj.,experimental (adj.),實驗性的
4,explanation,n.,explanation (n.),解釋
4,explosion,n.,explosion (n.),霹靂
4,explosive,adj./n.,explosive (adj./n.),霹靂
4,expose,v.,expose (v.),暴露
4,exposure,n.,exposure (n.),曝露
4,extend,v.,extend (v.),延長
4,extent,n.,extent (n.),程度
4,facial,adj.,facial (adj.),臉部的
4,facility,n.,facility (n.),設施
4,faithful,adj.,faithful (adj.),忠實
4,fame,n.,fame (n.),名聲
4,fantastic,adj.,fantastic (adj.),極佳的
4,fantasy,n.,fantasy (n.),幻想
4,farewell,n.,farewell (n.),告別
4,fasten,v.,fasten (v.),系
4,fatal,adj.,fatal (adj.),致命的
4,favorable,adj.,favorable (adj.),有利
4,fax,n./v.,fax (n./v.),傳真
4,feast,n./v.,feast (n./v.),盛宴
4,feedback,n.,feedback (n.),回饋
4,ferry,n./v.,ferry (n./v.),渡輪
4,fertile,adj.,fertile (adj.),沃
4,fetch,v./n.,fetch (v./n.),拿來
4,fiction,n.,fiction (n.),小說
4,fierce,adj.,fierce (adj.),兇猛的
4,finance,n./v.,finance (n./v.),金融
4,financial,adj.,financial (adj.),金融的
4,fireplace,n.,fireplace (n.),壁爐
4,flatter,v.,flatter (v.),奉承
4,flea,n.,flea (n.),跳蚤
4,flee,v.,flee (v.),逃跑
4,flexible,adj.,flexible (adj.),靈活的
4,fluent,adj.,fluent (adj.),流暢
4,flush,v./n.,flush (v./n.),沖水
4,foam,n./v.,foam (n./v.),泡棉
4,forbid,v.,forbid (v.),禁止
4,forecast,n./v.,forecast (n./v.),預報
4,formation,n.,formation (n.),形成
4,formula,n.,formula (n.),公式
4,fort,n.,fort (n.),堡
4,fortunate,adj.,fortunate (adj.),幸運
4,fossil,n./adj.,fossil (n./adj.),化石
4,foundation,n.,foundation (n.),基礎
4,founder,n.,founder (n.),創辦人
4,fragile,adj.,fragile (adj.),脆弱的
4,frame,n./v.,frame (n./v.),框架
4,frequency,n.,frequency (n.),頻率
4,freshman,n.,freshman (n.),新生
4,frost,n./v.,frost (n./v.),霜
4,frown,n./v.,frown (n./v.),皺眉
4,frustrate,v.,frustrate (v.),阻撓
4,frustration,n.,frustration (n.),挫折
4,fulfill(ment),v./(n.),fulfill(ment) (v./(n.)),履行）
4,functional,adj.,functional (adj.),功能性的
4,fundamental,adj./n.,fundamental (adj./n.),基本的
4,funeral,n.,funeral (n.),葬禮
4,furious,adj.,furious (adj.),狂怒
4,furnish,v.,furnish (v.),提供
4,furthermore,adv.,furthermore (adv.),另外
4,gallery,n.,gallery (n.),畫廊
4,gaze,n./v.,gaze (n./v.),目光
4,gear,n./v.,gear (n./v.),齒輪
4,gender,n.,gender (n.),性別
4,gene,n.,gene (n.),基因
4,generation,n.,generation (n.),世代
4,generosity,n.,generosity (n.),慷慨
4,genius,n.,genius (n.),天才
4,genuine,adj.,genuine (adj.),真的
4,germ,n.,germ (n.),胚芽
4,gifted,adj.,gifted (adj.),天才
4,gigantic,adj.,gigantic (adj.),巨大
4,giggle,n./v.,giggle (n./v.),傻笑
4,ginger,n.,ginger (n.),薑
4,glimpse,n./v.,glimpse (n./v.),一瞥
4,globe,n.,globe (n.),地球
4,glorious,adj.,glorious (adj.),輝煌
4,goods,n.,goods (n.),商品
4,gown,n.,gown (n.),袍
4,grace,n./v.,grace (n./v.),優雅
4,graceful,adj.,graceful (adj.),優美
4,gracious,adj.,gracious (adj.),親切
4,graduation,n.,graduation (n.),畢業
4,grammar,n.,grammar (n.),文法
4,grammatical,adj.,grammatical (adj.),語法的
4,graph,n./v.,graph (n./v.),圖形
4,grateful,adj.,grateful (adj.),感激的
4,gratitude,n.,gratitude (n.),感激
4,grave,n./adj.,grave (n./adj.),嚴重
4,greasy,adj.,greasy (adj.),膩
4,greeting(s),n.,greeting(s) (n.),問候）
4,grief,n.,grief (n.),悲傷
4,grind,v./n.,grind (v./n.),研磨
4,guarantee,v./n.,guarantee (v./n.),保證
4,guardian,n.,guardian (n.),監護人
4,guilt,n.,guilt (n.),有罪
4,guilty,adj.,guilty (adj.),有罪的
4,gulf,n.,gulf (n.),海灣
4,habitual,adj.,habitual (adj.),習慣性的
4,halt,n./v.,halt (n./v.),停止
4,handwriting,n.,handwriting (n.),手寫
4,hardship,n.,hardship (n.),困難
4,hardware,n.,hardware (n.),硬體
4,harmony,n.,harmony (n.),和諧
4,harsh,adj.,harsh (adj.),殘酷的
4,haste,n.,haste (n.),匆忙
4,hasten,v.,hasten (v.),趨
4,hatred,n.,hatred (n.),仇恨
4,hawk,n.,hawk (n.),鷹
4,helicopter,n.,helicopter (n.),直升機
4,herd,n./v.,herd (n./v.),一群
4,hesitation,n.,hesitation (n.),猶豫
4,hive,n.,hive (n.),蜂巢
4,homeland,n.,homeland (n.),家園
4,honeymoon,n./v.,honeymoon (n./v.),蜜月
4,hook,n./v.,hook (n./v.),鉤
4,horizon,n.,horizon (n.),地平線
4,horrify,v.,horrify (v.),驚嚇
4,hose,n./v.,hose (n./v.),軟管
4,household,n.,household (n.),家庭
4,housework,n.,housework (n.),家務
4,humanity,n.,humanity (n.),人類
4,humidity,n.,humidity (n.),濕度
4,hurricane,n.,hurricane (n.),颶風
4,hush,n./v.,hush (n./v.),噓
4,hydrogen,n.,hydrogen (n.),氫
4,identical,adj.,identical (adj.),完全相同的
4,identification,n.,identification (n.),鑑別
4,identify,v.,identify (v.),確認
4,idiom,n.,idiom (n.),成語
4,idle,adj./v.,idle (adj./v.),閒置的
4,idol,n.,idol (n.),偶像
4,ignorance,n.,ignorance (n.),無知
4,ignorant,adj.,ignorant (adj.),無知
4,illustrate,v.,illustrate (v.),闡明
4,illustration,n.,illustration (n.),插圖
4,imaginary,adj.,imaginary (adj.),假想
4,imaginative,adj.,imaginative (adj.),富有想像力的
4,imitate,v.,imitate (v.),模擬
4,imitation,n.,imitation (n.),模仿
4,immigrant,n.,immigrant (n.),移民
4,immigrate,v.,immigrate (v.),移民
4,immigration,n.,immigration (n.),移民
4,impact,n./v.,impact (n./v.),影響
4,imply,v.,imply (v.),意味著
4,impose,v.,impose (v.),強加
4,impression,n.,impression (n.),印象
4,incident,n.,incident (n.),事件
4,including,prep.,including (prep.),包括
4,incredible,adj.,incredible (adj.),極佳的
4,indication,n.,indication (n.),指示
4,infant,n.,infant (n.),嬰兒
4,infection,n.,infection (n.),感染
4,inflation,n.,inflation (n.),通貨膨脹
4,influential,adj.,influential (adj.),有影響
4,informative,adj.,informative (adj.),資訊豐富的
4,ingredient,n.,ingredient (n.),成分
4,initial,adj./n./v.,initial (adj./n./v.),最初的
4,injure,v.,injure (v.),損傷
4,innocence,n.,innocence (n.),純真
4,input,n./v.,input (n./v.),輸入
4,insert,v./n.,insert (v./n.),插入
4,inspection,n.,inspection (n.),檢查
4,inspiration,n.,inspiration (n.),靈感
4,inspire,v.,inspire (v.),啟發
4,install,v.,install (v.),安裝
4,instinct,n.,instinct (n.),本能
4,instruct,v.,instruct (v.),指示
4,instructor,n.,instructor (n.),講師
4,insult,n./v.,insult (n./v.),侮辱
4,insurance,n.,insurance (n.),保險
4,intellectual,adj./n.,intellectual (adj./n.),知識分子
4,intelligence,n.,intelligence (n.),智力
4,intend,v.,intend (v.),打算
4,intense,adj.,intense (adj.),激烈的
4,intensity,n.,intensity (n.),強度
4,intensive,adj.,intensive (adj.),密集的
4,intention,n.,intention (n.),意圖
4,interact,v.,interact (v.),相互影響
4,interaction,n.,interaction (n.),交互作用
4,interfere,v.,interfere (v.),幹擾
4,intermediate,adj./n./v.,intermediate (adj./n./v.),中間的
4,interpret,v.,interpret (v.),解釋
4,interruption,n.,interruption (n.),中斷
4,intimate,adj./n.,intimate (adj./n.),親密的
4,intuition,n.,intuition (n.),直覺
4,invade,v.,invade (v.),入侵
4,invasion,n.,invasion (n.),入侵
4,invention,n.,invention (n.),發明
4,invest(ment),v./(n.),invest(ment) (v./(n.)),投資）
4,investigation,n.,investigation (n.),調查
4,involve(ment),v./(n.),involve(ment) (v./(n.)),參與（參與）
4,isolate,v.,isolate (v.),隔離
4,isolation,n.,isolation (n.),隔離
4,issue,n./v.,issue (n./v.),問題
4,jealousy,n.,jealousy (n.),妒忌
4,keen,adj.,keen (adj.),敏銳的
4,kettle,n.,kettle (n.),壺
4,kneel,v.,kneel (v.),下跪
4,knob,n.,knob (n.),旋鈕
4,labor,n./v.,labor (n./v.),勞動
4,laboratory/lab,n.,laboratory/lab (n.),實驗室/實驗室
4,lag,n./v.,lag (n./v.),落後
4,landmark,n.,landmark (n.),地標
4,landscape,n./v.,landscape (n./v.),景觀
4,largely,adv.,largely (adv.),很大程度上
4,launch,v./n.,launch (v./n.),發射
4,lawful,adj.,lawful (adj.),合法的
4,lean,v./adj.,lean (v./adj.),傾斜
4,learned,adj.,learned (adj.),學到了
4,lecture,n./v.,lecture (n./v.),演講
4,lecturer,n.,lecturer (n.),講師
4,legend,n.,legend (n.),傳奇
4,leisurely,adj./adv.,leisurely (adj./adv.),悠閒
4,lengthen,v.,lengthen (v.),加長
4,liar,n.,liar (n.),說謊者
4,librarian,n.,librarian (n.),圖書館員
4,license,n./v.,license (n./v.),執照
4,lifeguard,n.,lifeguard (n.),救生員
4,limitation,n.,limitation (n.),限制
4,linen,n.,linen (n.),亞麻布
4,lipstick,n.,lipstick (n.),口紅
4,liquor,n.,liquor (n.),酒
4,literary,adj.,literary (adj.),文學的
4,literature,n.,literature (n.),文學
4,loan,n./v.,loan (n./v.),貸款
4,lobster,n.,lobster (n.),龍蝦
4,logic,n.,logic (n.),邏輯
4,logical,adj.,logical (adj.),邏輯的
4,loosen,v.,loosen (v.),鬆開
4,lousy,adj.,lousy (adj.),糟糕的
4,loyal,adj.,loyal (adj.),忠誠
4,loyalty,n.,loyalty (n.),忠誠
4,luxurious,adj.,luxurious (adj.),豪華
4,luxury,n.,luxury (n.),奢華
4,machinery,n.,machinery (n.),機械
4,magnetic,adj.,magnetic (adj.),磁的
4,magnificent,adj.,magnificent (adj.),壯麗
4,makeup,n.,makeup (n.),化妝品
4,manual,n./adj.,manual (n./adj.),手動的
4,manufacture,n./v.,manufacture (n./v.),生產
4,manufacturer,n.,manufacturer (n.),製造商
4,marathon,n.,marathon (n.),馬拉松
4,margin,n.,margin (n.),利潤
4,maturity,n.,maturity (n.),到期
4,maximum,adj./n.,maximum (adj./n.),最大限度
4,measurable,adj.,measurable (adj.),可測量的
4,measure(s),n.,measure(s) (n.),措施
4,mechanic,n.,mechanic (n.),機械
4,mechanical,adj.,mechanical (adj.),機械的
4,memorable,adj.,memorable (adj.),難忘
4,memorial,adj./n.,memorial (adj./n.),紀念館
4,memorize,v.,memorize (v.),記住
4,merchant,n.,merchant (n.),商人
4,mercy,n.,mercy (n.),憐憫
4,mere,adj.,mere (adj.),僅僅
4,merit,n.,merit (n.),優點
4,messenger,n.,messenger (n.),信差
4,messy,adj.,messy (adj.),凌亂的
4,microscope,n.,microscope (n.),顯微鏡
4,mild,adj.,mild (adj.),輕微
4,mill,n./v.,mill (n./v.),磨
4,millionaire,n.,millionaire (n.),百萬富翁
4,miner,n.,miner (n.),礦工
4,mineral,n.,mineral (n.),礦物
4,minimum,adj./n.,minimum (adj./n.),最低限度
4,minister,n.,minister (n.),部長
4,ministry,n.,ministry (n.),部
4,mischief,n.,mischief (n.),惡作劇
4,miserable,adj.,miserable (adj.),悲慘的
4,misfortune,n.,misfortune (n.),不幸
4,mislead,v.,mislead (v.),誤導
4,misunderstand,v.,misunderstand (v.),誤解
4,moderate,adj.,moderate (adj.),緩和
4,modest,adj.,modest (adj.),謙虛的
4,modesty,n.,modesty (n.),謙遜
4,monitor,n./v.,monitor (n./v.),監視器
4,monument,n.,monument (n.),紀念碑
4,moreover,adv.,moreover (adv.),而且
4,motivate,v.,motivate (v.),激勵
4,motivation,n.,motivation (n.),動機
4,mountainous,adj.,mountainous (adj.),多山
4,muddy,adj.,muddy (adj.),渾
4,mule,n.,mule (n.),騾子
4,multiple,adj.,multiple (adj.),多種的
4,murderer,n.,murderer (n.),兇手
4,murmur,n./v.,murmur (n./v.),雜音
4,mutual,adj.,mutual (adj.),相互的
4,mysterious,adj.,mysterious (adj.),神秘
4,namely,adv.,namely (adv.),即
4,nationality,n.,nationality (n.),國籍
4,needy,adj.,needy (adj.),有需要的
4,neglect,n./v.,neglect (n./v.),忽視
4,negotiate,v.,negotiate (v.),談判
4,nevertheless,adv.,nevertheless (adv.),儘管如此
4,nightmare,n.,nightmare (n.),惡夢
4,noble,adj./n.,noble (adj./n.),高貴
4,nonsense,n.,nonsense (n.),廢話
4,nowadays,adv.,nowadays (adv.),如今
4,nuclear,adj.,nuclear (adj.),核
4,numerous,adj.,numerous (adj.),很多的
4,nursery,n.,nursery (n.),苗圃
4,nutritious,adj.,nutritious (adj.),有營養的
4,obedience,n.,obedience (n.),服從
4,obedient,adj.,obedient (adj.),聽話
4,objection,n.,objection (n.),異議
4,objective,n./adj.,objective (n./adj.),客觀的
4,observation,n.,observation (n.),觀察
4,obstacle,n.,obstacle (n.),障礙
4,obtain,v.,obtain (v.),獲得
4,occasional,adj.,occasional (adj.),偶然
4,occupation,n.,occupation (n.),職業
4,occupy,v.,occupy (v.),佔據
4,offend,v.,offend (v.),得罪
4,offense,n.,offense (n.),罪行
4,offensive,adj.,offensive (adj.),進攻
4,opera,n.,opera (n.),歌劇
4,oppose,v.,oppose (v.),反對
4,option,n.,option (n.),選項
